Term,Description
гипоосмолярная гипергидратация ,"Гипергидратация гипоосмотическая (син. гипергидратация гипоосмолярная) - гипергидратация, характеризующаяся пониженным осмотическим давлением жидкостей; наблюдается при преобладании поступления воды в организм над ее выделением "
гипопаратиреоз ,"Гипопаратиреоз -  синдром недостаточности функции околощитовидных желез, характеризующийся судорогами, нервными и психическими расстройствами, снижением содержания кальция в крови "
гипоперфузия ,"Гипоперфузия - пониженное кровоснабжение, слабая микроциркуляция "
гипопитуитаризм ,Гипопитуитаризм - недостаточность функции гипофиза или гипоталамуса с уменьшением или прекращением продукции тропных гормонов передней доли и антидиуретического гормона 
гипоплазия ,"Гипоплазия -   остановка развития органа, его части или организма в целом в результате прекращения увеличения числа клеток. "
гипопротеинемия ,"Гипопротеинемия - пониженное содержание белка в сыворотке крови, наблюдается при его недостаточном поступлении в организм или значительных потерях "
гипорибофлавиноз ,"Гипорибофлавиноз — патологические состояния, возникающие в результате дефицита в организме рибофлавина (В2). Проявляются поражением слизистой оболочки рта, глаз, кожи "
гипосаливация ,Гипосаливация - пониженная секреция слюны 
гипоспадия ,"Гипоспадия (Hypospadia; гипо- + греч. spadon - отверстие; син. незаращение мочеиспускательного канала нижнее, расщелина мочеиспускательного канала нижняя, щель мочеиспускательного канала нижняя) Аномалия развития: отсутствие дистальной части мужского мочеиспускательного канала с локализацией его наружного отверстия в необычном месте. "
гипостаз ,Гипостаз - застой крови в нижележащих частях тела и отдельных органов 
гипотензия ,"Гипотензия - пониженное гидростатическое давление в сосудах, полых органах или в полостях организма.7 "
гипотермия ,"Гипотермия - нарушение теплового баланса, сопровождающееся снижением температуры тела ниже нормальных значений "
гипотиреоз ,"Гипотиреоз -  синдром недостаточности щитовидной железы, характеризующийся нервно-психическими расстройствами, отеками лица, конечностей и туловища, брадикардией9 "
гипотиреоидный зоб ,"Гипотиреоидный зоб - зоб, развивающийся при сниженной функции щитовидной железы "
гипотонию ,Гипотония - сниженный тонус мышцы или мышечного слоя стенки полого органа.0 
гипотрофии ,"Гипотрофия - расстройство питания, характеризующееся различной степенью дефицита массы тела4 "
гипофосфатемия ,"Гипофосфатемия - пониженное содержание неорганических соединений фосфора в сыворотке крови; сопровождается наклонностью к остеопорозу и остеомаляции, нарушениями функции центральной нервной системы "
гипохлоремия ,Пониженное содержание хлоридов в сыворотке крови. 
гиппокамп ,"Гиппокамп - часть лимбической системы головного мозга (обонятельного мозга). Участвует в механизмах формирования эмоций, консолидации памяти (то есть перехода кратковременной памяти в долговременную) "
гирсутизм ,"Гирсутизм - избыточный рост терминальных волос у женщин по мужскому типу. Терминальные - темные, жесткие и длинные волосы. Мужской тип оволосения характеризуется появлением волос на подбородке, верхней части груди (в области грудины), верхней части спины и живота "
гистиоцитоз X ,"Гистиоцитоз X (икс), лангергансоклеточный гистиоцитоз — термин, обозначающий группу заболеваний с невыясненной до конца этиологией, при котором патологические иммунные клетки, называемые гистиоцитами и эозинофилы, активно размножаются, особенно в легких и костях, что вызывает формирование рубцовой ткани "
гистоплазмоз ,"Гистоплазмоз - инфекционная болезнь из группы системных микозов, вызываемая Histoplasma capsulatum; характеризуется гиперплазией элементов ретикулоэндотелиальной системы, преимущественно в легких, а также в печени и селезенке, без признаков гнойного воспаления, с развитием сердечно-легочного, печеночно-селезеночно-лимфатического или кожно-слизисто-язвенного синдромов "
гистосовместимость ,"Гистосовместимость - совместимость органов и тканей, например, при трансплантации совместимая ткань не отторгается организмом реципиента "
гландулярный ,"Гландулярный - железистый, относящийся к железе "
гландулярный хейлит ,"Хейлит гландулярный - воспаление мелких слюнных желез, расположенных в слизистой оболочке губы "
глаукома ,"Глаукома - болезнь глаз, характеризующаяся повышенным внутриглазным давлением с развитием трофических расстройств в сетчатке и диске зрительного нерва, обусловливающих снижение зрительных функций "
гликозурия ,"Гликозурия (син. гликурия, мелитурия) - наличие в моче сахаров в высоких концентрациях "
глиссонова капсула ,"Глиссонова капсула (фиброзная оболочка печени) - фиброзная оболочка, покрывающая печень, сращенная с висцеральной брюшиной и проникающая вглубь паренхимы печени в области ее ворот "
гломерулонефрит ,Гломерулонефрит - двустороннее диффузное воспаление почек с преимущественным поражением клубочков 
глоссит ,Глоссит - воспаление языка. 
глоссодиния ,"Глоссодиния - парестезия в виде ощущений жжения, пощипывания, зуда в языке и ощущения сухости во рту; наблюдается при болезнях органов желудочно-кишечного тракта, некоторых поражениях нервной системы и др. "
глоссопироз ,"Глоссопироз - частный случай глоссодинии. В отличие от глоссодинии, которая характеризуется различными болевыми ощущениями (жжение, пощипывание и др.) и дискомфортом во рту, при глоссопирозе присутствует только жжение "
глюкагонома ,"Глюкагонома — опухоль (обычно злокачественная) из альфа-клеток островков Лангерганса, секретирующая глюкагон. Развивается сложный симптомокомплекс, наиболее часто включающий в себя дерматит, диабет, анемию и похудание. Реже отмечаются диарея, поражение слизистых оболочек, тромбозы и эмболии "
глюконеогенез ,"Глюконеогенез - биохимическая реакция, в процессе которой происходит синтез глюкозы - важного источника энергии - из неуглеводных источников (например, из аминокислот). Глюконеогенез протекает преимущественно в печени и почках, обеспечивая потребность организма в глюкозе, когда количество углеводов, потребляемых с пищей, является недостаточным для образования требуемого количества глюкозы "
глютеновая энтеропатия ,"Глютеновая энтеропатия (болезнь глютеновая) - токсико-аллергическая диспепсия (нарушение процесса пищеварения), развивающаяся в результате воздействия на кишечник продуктов неполного расщепления глютена, что обусловлено дефицитом соответствующих ферментов; проявляется упорными поносами, метеоризмом, истощением "
гомеостаза ,"Гомеостаз - относительное динамическое постоянство внутренней среды (крови, лимфы, тканевой жидкости) и устойчивость основных физиологических функций (кровообращения, дыхания, терморегуляции, обмена веществ и т.д.) организма.5 "
гомоцистеин ,"Гомоцистеин - это биологически активное вещество, аминокислота, содержащая серу. Гомоцистеин имеет сложную химическую формулу и называется незаменимой аминокислотой. С продуктами питания это вещество в организм человека не поступает, оно образуется из другой аминокислоты - метионина. Метионином богаты продукты животного происхождения, такие как мясо, яйца, практически все молочные продукты, а особенно творог. "
гранулематоз ,"Гранулематоз - общее название болезней или состояний, характеризующихся образованием гранулем (очаг продуктивного воспаления, имеющий вид плотного узелка) "
гранулематоз Вегенера ,"Гранулематоз Вегенера — аутоиммунное гранулематозное воспаление стенок сосудов, захватывающее мелкие и средние кровеносные сосуды с вовлечением верхних дыхательных путей, глаз, почек, легких и других органов "
грануляционная ткань ,"Грануляционная ткань -  соединительная ткань, образующаяся при заживлении дефектов ткани, хроническом воспалении, организации омертвевших участков и инкапсуляции инородных тел; состоит из большого числа новообразованных сосудов (типа капилляров), молодых и дифференцированных клеток, ретикулярных и коллагеновых волокон; в открытой ране имеет зернистый вид. "
гранулёмы ,"Гранулёма - очаг продуктивного воспаления, имеющий вид плотного узелка. "
грыжа пищеводного отверстия диафрагмы ,"Грыжа пищеводного отверстия диафрагмы - хроническая рецидивирующая болезнь, связанная со смещением через пищеводное отверстие диафрагмы в грудную полость (заднее средостение) абдоминального отдела пищевода, кардиального отдела желудка, а иногда петель кишечника. "
грыжами диафрагмы ,Грыжа диафрагмальная - грыжа живота с выходом органов брюшной полости в грудную полость через расширенные щели или дефекты диафрагмы 
гумма ,"Гумма - хронический инфильтрат в виде узла, склонного к распаду и изъязвлению "
гуммозный ,"Гуммозный - сопровождающийся образованием гумм (хронического инфильтрата в виде узла, склонного к распаду и изъязвлению) "
гуморального ,Гуморальный - относящийся к жидким внутренним средам организма. 
дезартеризация ,"Дезартеризация - малоинвазивная техника лечения геморроя. Осуществляется перевязка артерий, обеспечивающих приток крови к геморроидальным узлам. Дезартеризация геморроя проводится с помощью специального ультразвукового оборудования (аноскопа) и рассасывающегося шовного материала, накладываемого на варикозные вены прямой кишки. В результате, их кровоснабжение прекращается, они уменьшаются в размерах и склеротируются (ссыхаются) "
декомпенсация ,Декомпенсация - недостаточность или срыв механизмов восстановления функциональных нарушений и структурных дефектов организма. 
декомпрессия ,"Декомпрессия - 1) Общее название лечебных мероприятий, уменьшающих избыточное давление в тканях, органах или жидких средах организма; 2) Уменьшение или устранение сдавления органа окружающими тканями или жидкостями хирургическим путем "
деконтаминация ,Деконтаминация - процесс удаления или уничтожения микроорганизмов с целью обезвреживания и защиты 
декортикация ,Декортикация - медицинская операция по удалению наружных оболочек различных органов 
декстрокардия ,Декстрокардия - аномалия развития: расположение большей части сердца в грудной клетке вправо от средней линии тела 
делирий ,"Делирий - психическое расстройство, протекающее с нарушением сознания (от помраченного состояния до комы) "
деменция ,"Деменция - приобретенное слабоумие, стойкое снижение познавательной деятельности с утратой в той или иной степени ранее усвоенных знаний и практических навыков и затруднением или невозможностью приобретения новых "
демпинг-синдром ,"Демпинг-синдром - совокупность клинических, рентгенологических и лабораторных признаков, появляющихся после резекции желудка вследствие быстрого поступления желудочного содержимого из культи желудка в тонкую кишку "
денситометрия ,"Денситометрия - метод диагностики, который позволяет достоверно определить минеральную плотность костной ткани, что необходимо для профилактики и ранней диагностики остеопороза "
депонирование ,"Депонирование - 1) временное выключение каких-либо субстанций (например, форменных элементов крови, гормонов, жиров) из процессов циркуляции и обмена и их хранение в организме для последующего использования; системная реакция организма, служащая поддержанию гомеостаза; 2) накопление в тканях и органах лекарственных, радиоактивных, токсичных и других веществ, поступающих из окружающей среды "
дерматомиозит ,"Дерматомиозит - болезнь из группы коллагенозов, характеризующаяся системным поражением поперечнополосатой и гладкой мускулатуры с нарушением двигательной функции, а также поражением кожи в виде эритемы и отека, преимущественно на открытых участках тела "
дерматофиброма ,"Дерматофиброма - доброкачественная соединительнотканная опухоль кожи в виде медленно растущего плотного безболезненного узла, нечетко отграниченного от дермы "
десквамативный глоссит ,"Десквамативный глоссит (син. географический язык) – это воспалительно-дистрофическое заболевание слизистой оболочки языка, в ходе которого появляются участки десквамации: чешуйчатого шелушения "
десквамация ,"Десквамация - чешуйчатое шелушение (отслаивание) эпителия или других тканей с поверхности органа, происходящее либо в норме, либо вследствие различных патологических процессов0 "
детергенты ,"Детергенты - химические соединения, обладающие высокой поверхностной активностью и, в связи с этим моющим, часто дезинфицирующим, а также растворяющим действием широко применяются в медицине "
деторсия ,"Деторсия - устранение заворота кишки, желудка или другого органа путем раскручивания "
детрит ,Детрит - кашицеобразный продукт распада тканей 
дефекография ,"Дефекография (или эвакуаторная проктография) — рентгенографическое исследование процесса дефекации. Дает возможность точно определить, страдает ли пациент запором или недержанием кала "
диабетической нейропатии ,"Диабетическая нейропатия - расстройства нервной системы, связанные с поражением при диабете малых кровеносных сосудов. "
диагностика ex juvantibus ,"Диагноз ex juvantibus - диагноз, основанный на оценке результатов проведенного лечения "
диапедез ,Диапедез -  выхождение форменных элементов крови через неповрежденные стенки капилляров и мелких вен. 
диапедезное кровотечение ,Диапедезное кровотечение - кровотечение без повреждения целостности стенок сосудов 
диастаз ,Диастаз – в пер. с гр. - разъединение 
диастола ,"Диастола -  фаза сердечного цикла: расширение полостей сердца, связанное с расслаблением мускулатуры их стенок, во время которого полости сердца наполняются кровью "
дивертикулами пищевода ,"Дивертикул пищевода - выпячивание стенки пищевода, сообщающееся с его просветом. "
дивертикулах ,"Дивертикул -  выпячивание стенки полого органа (кишки, пищевода, мочеточника и др.), сообщающееся с его полостью.0 "
дивертикулез ,"Дивертикулез - наличие множественных дивертикулов (выпячивание стенки полого органа, сообщающееся с его полостью); наблюдается чаще в желудочно-кишечном тракте "
дивертикулит ,"Дивертикулит -  воспаление дивертикула, вызываемое обычно застоем его содержимого. "
дивульсия ,Дивульсия - насильственное расширение суженного просвета естественного канала или полости с применением какого-либо дилататора (расширителя) 
дигестивный ,"Дигестивный - пищеварительный, относящийся к пищеварению "
дизартрия ,"Дизартрия - расстройство артикуляции, проявляющееся неясностью произношения (особенно согласных звуков), замедленностью или прерывистостью речи и т.п. "
дизентерия ,"Дизентерия -  инфекционная болезнь, вызываемая бактериями рода Shigella, характеризующаяся фекально-оральным механизмом передачи и преимущественным поражением толстой кишки с явлениями интоксикации. "
дизестезия ,"Дизестезия - извращение чувствительности (например, тепло воспринимается как боль или холод) "
дизосмия ,"Дизосмия - извращение обоняния, при котором обычные запахи воспринимаются как неприятные. Является важным признаком поражения височной доли, но нередко обусловлена поражением слизистой оболочки носа (при хронических ринитах) "
дизурия ,"Дизурия - общее название расстройств мочеиспускания, например в виде его болезненности или затруднения выведения мочи из мочевого пузыря "
дилатацией ,Дилатация - стойкое диффузное расширение просвета какого-либо полого органа.5 
дилатационная кардиомиопатия ,"Дилатационная кардиомиопатия (ДКМП) - это состояние, при котором снижается способность сердца перекачивать кровь из-за увеличения и ослабления левого желудочка (главной насосной камеры сердца), что снижает фракцию выброса (количество крови, которое сердце выбрасывает при каждом ударе) "
диплопия ,"Диплопия - нарушение зрения, при котором рассматриваемый объект кажется удвоенным "
дисгевзия ,"Дисгевзия - расстройство вкуса, характеризующееся утратой или извращением восприятия некоторых вкусовых раздражителей "
дискинезии ,"Дискинезия - общее название расстройств координированных двигательных актов (в т.ч. внутренних органов), заключающихся в нарушении временной и пространственной координации движений и неадекватной интенсивности отдельных их компонентов.3 "
дискинезия желчевыводящих путей ,"Дискинезия желчевыводящих путей - это комплекс расстройств желчевыводящей системы, обусловленных нарушениями двигательной функции желчного пузыря и желчных протоков при отсутствии их органических изменений. У больных отмечаются либо чрезмерное, либо недостаточное сокращение желчного пузыря "
дискинезия пищевода ,"Дискинезия пищевода - это нарушение его моторной (двигательной) функции, которое заключается в изменении продвижения пищи из полости глотки в желудок при отсутствии органических поражений пищевода. Нарушения моторной функции пищевода приводят к задержке или замедлению продвижения пищи в желудок либо к появлению ретроградного ее продвижения "
дискордантность ,"Дискордантность - разнонаправленность, несогласованность "
дискразия ,Дискразия - неправильное смешение или изменение состава жидкостей организма (соков) 
дислипидемия ,"Дислипидемия - нарушение обмена холестерина и других липидов (жиров), заключающееся в изменении их соотношения в крови "
дисменорея ,Дисменорея - общее название расстройств менструального цикла 
диспепсия ,"Диспепсия - нарушение процесса пищеварения, обычно проявляющееся болью или неприятными ощущениями в нижней части груди или живота, которые могут возникать после еды и иногда сопровождаться тошнотой или рвотой.2 "
диспептическим синдромом ,"Диспептический синдром - нарушение процесса пищеварения, обычно проявляющееся болью или неприятными ощущениями в нижней части груди или живота, которые могут возникать после еды и иногда сопровождаться тошнотой или рвотой "
дисплазией ,Дисплазия - неправильное развитие тканей и органов.2 
дисплазия Мондини ,"Дисплазия Мондини - врожденная аномалия костей и перепончатого ушного лабиринта, характеризующаяся аплазией улитки внутреннего уха и деформацией преддверия и полукружных каналов с частичной или полной потерей слуховой и вестибулярной функций "
диспноэ ,"Диспноэ (син. одышка) -  нарушение частоты, ритма, глубины дыхания или повышение работы дыхательных мышц, проявляющееся, как правило, субъективными ощущениями недостатка воздуха или затруднения дыхания "
диспротеинемия ,"Диспротеинемия - нарушение нормального количественного соотношения между фракциями белков крови; наблюдается при воспалительных процессах, коллагенозах, расстройствах питания и т.д. "
диссеминация ,Диссеминация - распространение возбудителя инфекционной болезни из первичного очага или опухолевых клеток из основного узла по кровеносным и лимфатическим путям в пределах одного органа или всего организма.0 
диссеминированный ,"Диссеминированный -   рассеянный, распространенный. "
дистальный ,дистальный - (лат. distalis) - расположенный дальше от центра или срединной линии 
дистальный прикус ,"Прогнатический прикус (син. дистальный прикус) - прикус, при котором резцы и клыки верхней челюсти расположены впереди соответствующих зубов нижней челюсти "
дистопия ,"Дистопия - расположение органа, ткани или отдельных клеток в необычном для них месте, обусловленное дизэмбриогенезом, травмой или хирургическим вмешательством "
дистрофия алиментарная ,"Дистрофия алиментарная - болезнь, развивающаяся вследствие длительного недостаточного поступления пищевых веществ в организм; характеризуется общим истощением, отеками, прогрессирующим расстройством всех видов обмена веществ, дистрофией органов и тканей с нарушением их функций "
дисфагия ,Дисфагия - общее название расстройств глотания0 
дисфония ,"Дисфония - расстройство голосообразования, при котором голос сохраняется, но становится хриплым, слабым, вибрирующим "
дисцит ,"Дисцит - 1) воспаление межпозвоночного диска; встречается редко, например как осложнение после пункции диска; 2) (нрк) - дискоз - дистрофический процесс в межпозвоночном диске при остеохондрозе позвоночника "
диурез ,"Диурез - повышенная секреция мочи почками. Обычно наблюдается после приема большего, чем требуется организму, количества жидкости, однако может развиваться и в результате приема мочегонных средств7 "
диффузный миокардит ,"Миокардит диффузный - воспаление миокарда, при котором поражается весь миокард; обычно проявляется выраженной сердечной недостаточностью "
диффузный цианоз ,"Диффузный цианоз - синюшность покровов тела вследствие содержания в крови большого количества неокисленного гемоглобина в результате сброса венозной крови в большой круг, минуя легкие "
долихоцефалия ,"Долихоцефалия - вариант формы головы человека, характеризующийся значительным преобладанием продольных ее размеров над поперечными "
дорсовентральный ,Дорсовентральный - проходящий от поверхности спины (задней поверхности) к передней (вентральной) поверхности 
дорсопатия ,"Дорсопатия - обобщенное название различных патологий позвоночника, мягких тканей спины. Обобщающий признак различных видов дорсопатии - болевые синдромы в области туловища (шейный отдел, спина, поясница), не связанные с заболеваниями внутренних органов "
дугласово пространство ,"Прямокишечно-маточное углубление (син. дугласов карман, дугласово пространство) - углубление в париетальной брюшине, расположенное между маткой и прямой кишкой, по бокам ограниченное прямокишечно-маточными складками брюшины "
дуктопения ,Дуктопения - синдром исчезающих желчных протоков. 
дуоденального содержимого ,"Дуоденальное содержимое - содержимое просвета двенадцатиперстной кишки, состоящее из пищеварительных соков, выделяемых слизистой оболочкой двенадцатиперстной кишки и поджелудочной железой, а также желчи, слизи, примесей желудочного сока и слюны, перевариваемой пищи и т.д. "
дуоденитом ,Дуоденит - воспаление двенадцатиперстной кишки. 
дуоденогастральный рефлюкс ,Дуоденогастральный рефлюкс - заброс содержимого двенадцатиперстной кишки в желудок. 
дуоденокинезиография ,Дуоденокинезиография - метод исследования двенадцатиперстной кишки путем графической регистрации ее движений 
дуоденостаз ,"Дуоденостаз - нарушение двигательной функции двенадцатиперстной кишки, характеризующееся длительной задержкой в ней химуса; проявляется тупыми болями и ощущением тяжести в эпигастральной области (особенно после еды), тошнотой, рвотой "
дуоденум ,Двенадцатиперстная кишка 
дупликатура ,"Дупликатура - анатомическое образование, состоящее из двух слоев какой-либо пластинчатой структуры. "
еюноилеоанастомоз ,Еюноилеоанастомоз - анастомоз (созданное оперативным путем сообщение между полыми органами) между подвздошной и тощей кишкой 
желудочный пузырь ,Желудочный пузырь - выявляемое рентгенологически при вертикальном положении обследуемого скопление газа в верхней части желудка; размеры и форма желудочного пузыря имеют диагностическое значение 
заслонка Герлаха ,"Непостоянная небольшая Заслонка полулунной формы, образованная слизистой оболочкой слепой кишки, расположенная у устья червеобразного отростка (аппендикса); препятствует поступлению содержимого кишки в отросток. "
зона Губергрица-Скульского ,"Зона Губергрица-Скульского - область живота, ограниченная срединной линией тела, линией, проведенной от пупка влево вверх под углом 45°, и горизонтальной линией, проведенной на 6 см выше пупка "
зона Шоффара ,"Шоффара-Риве зона (син. Шоффара треугольник) - область живота, ограниченная срединной линией тела, линией, проведенной от пупка вправо вверх под углом 45°, и горизонтальной линией, проведенной на 6 см выше пупка "
идиовентрикулярный ,"Относящийся или связанный с желудочками сердца. Данный термин чаще всего используется для описания крайне медленного сокращения желудочков сердца, которое осуществляется под воздействием их собственного водителя ритма "
идиопатический ,"Идиопатический - возникающий без видимых причин, характеризующийся неясным происхождением "
идиопатический гемосидероз легких ,"Гемосидероз легких идиопатический (син. Целена-Геллерстедта синдром) - хроническая болезнь неясной этиологии, начинающаяся обычно в раннем детстве и проявляющаяся периодическими легочными кровотечениями, гемосидерозом (избыточное отложение гемосидерина в тканях организма) легочной ткани и тяжелой гипохромной анемией "
идиопатический мегаколон ,"Идиопатический мегаколон - разновидность порока развития, характеризующегося увеличением толстой кишки человека, при которой диагноз ставится при отсутствии определенного этиопатогенного фактора "
идиосинкразический ,"Идиосинкразия - общее название реакций организма, похожих по клиническим проявлениям на аллергические и возникающих при наследственно обусловленной повышенной чувствительности к некоторым пищевым продуктам и лекарствам "
илеит ,Илеит - воспаление подвздошной кишки 
илеоеюнальный ,Илеоеюнальный - относящийся к подвздошной и тощей кишке. 
илеоколоноскопия ,Илеоколоноскопия - эндоскопическое обследование нижних отделов пищеварительного тракта (толстой и терминального отдела тонкой кишки) 
илеоскопия ,Илеоскопия - осмотр терминального отдела тонкой кишки с помощью колоноскопа 
