,Index,Симптомы,МКБ_10
756,Глюкагонома,"Повышенный уровень иммунореактивного глюкагона может определяться при сахарном диабете, феохромоцитоме, циррозе печени, глюкокортикоидном гиперкортицизме, почечной недостаточности… Однако уровни глюкагона, превышающие в десятки и сотни раз его нормальные значения, известны в настоящее время только при глюкагонсекретирующих новообразованиях поджелудочной железы",C25.4
757,Глюкагонома,Лечение больных с глюкагономой — хирургическое и химиотерапевтическое.,C25.4
758,Глюкагонома,Радикальное лечение — удаление опухоли. Таким способом удаётся излечить треть больных.[2],C25.4
759,Глюкагонома,"Для медикаментозного лечения глюкагономы применяют внутриартериальное введение стрептозоцина (стрептозотоцин) или полихимиотерапию (различные сочетания стрептозоцина, фторурацила, доксорубицина и декарбазина). Химиотерапия позволяет облегчить симптомы, обусловленные метастазами в печени.[2]",C25.4
760,Глюкагонома,"Если радикальное оперативное лечение невозможно, назначают антипролиферативное и симптоматическое лечение октреотидом.[13]",C25.4
761,Глюкагонома,"Прогноз серьёзен, так как подавляющее большинство глюкагоно́м — злокачественные и в некоторых случаях на момент выявления обнаруживается метастазирование. Четвёртая часть всех оперативных вмешательств заканчивается пробной лапаротомией в виду метастатического процесса. Однако попытка удаления первичного очага должна быть предпринята при любых обстоятельствах — уменьшение опухолевой массы делает проведение химиотерапии более успешным.",C25.4
762,Грипп,"острое респираторное вирусное заболевание, вызываемое вирусами гриппа и поражающее в первую очередь верхние дыхательные пути, также поражает бронхи, в более редких случаях — лёгкие[3]. Выделяется среди острых респираторных вирусных инфекций (ОРВИ) у людей из-за возможного тяжёлого течения болезни[4]. Грипп ассоциируется с высокой смертностью во время пандемий, эпидемий и спорадических вспышек[5]. Пандемии гриппа случаются примерно каждые 50 лет, эпидемии же наблюдаются чаще. Вспышки сезонного гриппа ежегодно происходят почти во всём мире[6]. Наиболее частой причиной сезонного гриппа являются вирусы гриппа A[6], также только эти вирусы гриппа известны как причина пандемий[7].",J10
763,Грипп,"Симптомы гриппа появляются на 1—4-й день после заражения и включают в себя лихорадку, кашель, головную боль, боль в мышцах и суставах, слабость, боль в горле и насморк. При этом кашель может длиться две и более недели. Наиболее заразен больной на 3—4-й день с момента появления симптомов. Симптомы гриппа схожи с другими ОРВИ, диагностировать заболевание можно с помощью лабораторных тестов[8]. Грипп вызывается вирусами гриппа, но схожие симптомы могут быть и при других ОРВИ, для случаев подозрения на возможный грипп существует медицинский диагноз гриппоподобного заболевания.",J10
764,Грипп,"Может протекать как в форме инфекции верхних дыхательных путей, так и в форме инфекции нижних дыхательных путей[9]. У большинства людей симптомы гриппа проходят в течение недели без медицинской помощи. Но грипп может приводить к тяжёлой болезни и смерти, особенно у людей из групп риска. По оценкам ВОЗ, ежегодные эпидемии гриппа приводят к 3—5 миллионам случаев тяжёлой болезни и к 290—650 тысячам смертей[10]. В России от эпидемии гриппа (раз в 4—5 лет) умирает около тысячи человек (за сезон)[11]; по данным Росстата в 2019 году от гриппа умерло 239 человек[12]. Ежегодный экономический ущерб от сезонного гриппа в России составляет до 100 миллиардов рублей[4].",J10
765,Грипп,"Грипп уже довольно хорошо изучен и давно известен, но из-за того, что вирусы гриппа быстро мутируют до сих пор нет эффективных противогриппозных препаратов. Защитить наиболее уязвимые категории людей, в том числе и тех, кто не может прививаться, может помочь вакцинация. Коллективный иммунитет помогает снизить распространение заболевания, однако эффективность вакцин в разные сезоны разная. В целом, по оценкам исследователей для достижения коллективного иммунитета необходимо вакцинировать примерно 80 % здорового населения и 90 % людей из групп риска[8].",J10
766,Грипп,Реконвалесцентный период составляет 7—15 дней[13].,J10
767,Грипп,"В настоящее время выявлено более 2000 вариантов вируса гриппа, различающихся между собой антигенным спектром[14].",J10
768,Грипп,"Нередко словом «грипп» в обиходе также называют любое острое респираторное заболевание (ОРЗ), что ошибочно, так как кроме гриппа на сегодняшний день описано более 200 видов респираторных вирусов (аденовирусы, риновирусы, респираторно-синцитиальные вирусы и др.), вызывающих гриппоподобные заболевания у человека[15].",J10
769,Грипп,"Грипп — опасное заболевание, являющееся одной из частых причин смерти. По данным США, в списке частых причин смерти он располагается на восьмом месте, между диабетом и болезнями почек[16]. Среди возрастных групп грипп наиболее опасен для людей возрастом 65 лет и старше — у них смертность среди заболевших гриппом достигает 1 %[17][16][18], в этой возрастной группе случается до 89 % от всех смертей, связанных с гриппом[18]. Следующая за ними по уровню смертности возрастная группа — люди от 50 до 64 лет[17][16].",J10
770,Грипп,"Для профилактики гриппа Центры по контролю и профилактике заболеваний США рекомендуют вакцинировать всех лиц старше 6 месяцев (особенно входящих в группы риска), применять средства индивидуальной защиты, сокращать контакты с заболевшими, применять противовирусные препараты по назначению врача[19]. Роспотребнадзор рекомендует по возможности изолировать больных, при уходе за ними использовать медицинскую маску[20], а в сезон гриппа избегать массовых скоплений людей[21].",J10
771,Грипп,"Во многих европейских языках грипп называют «инфлюэнца» (итал. influenza «воздействие») — названием, возникшим в Риме в середине XVIII века благодаря потенциальной вирулентности заражения, как бы воздействующего на здоровое население. Другая версия появления названия «инфлюэнца» в эпоху Возрождения — болезнь как следствие влияния неблагоприятного стечения астрологических переменных[22].",J10
772,Грипп,"Французское название «la grippe» и немецкое «die Grippe» (используется наряду с «die Influenza»), возможно, произошло от одной из форм глагола «схватывать». Есть также мнение, что оно произошло от русского «хрип»[23].",J10
773,Грипп,"Вирус гриппа поражает не только людей, но и животных — свиней, лошадей, птиц.",J10
774,Грипп,"Первый вирус гриппа был выделен у птиц (кур) в 1901 году (публикация 1902 года) в Италии, но был идентифицирован как возбудитель «чумы птиц» или «чумы кур» (через 50 лет после этого было установлено, что вирус чумы птиц — это один из вирусов гриппа «А» птиц). Затем вирус гриппа «А» выделил у свиней американский учёный Ричард Шоуп в 1931 году. Вирус гриппа человека был выделен в 1933 году в Англии в Национальном институте медицинских исследований вирусологами Уилсоном Смитом, Кристофером Эндрюсом и Патриком Лейдлоу. В 1940 году был выделен вирус гриппа «В». В 1951 году по технологии культивирования вирусов «на куриных эмбрионах» был выделен вирус гриппа «С». В 2003 году, после четырёхлетней работы в лабораториях, был восстановлен и изучен вирус, послуживший причиной пандемии 1918 года[24].",J10
775,Грипп,"Вирусы гриппа относятся к семейству Orthomyxoviridae, которое включает роды Influenza A, B, С, D, Изавирус, Тоготовирусы и Кваранфилвирусы[25]. Антигенные свойства внутренних белков вириона (M1 и NP) определяют принадлежность вируса гриппа к роду А, В или С[26]. Дальнейшее деление проводится согласно подтипам (серотипам) поверхностных белков гемагглютинина (HA) и нейраминидазы (NA). В соответствии с антигенной специфичностью поверхностных гликопротеидов HA и NA в настоящее время известно 18 подтипов HA и 11 подтипов нейраминидазы (NA)[27].",J10
776,Грипп,"Эпидемическое значение для людей имеют вирусы, содержащие три подтипа HA (H1, H2, H3) и два подтипа NA (N1, N2). Вирусы гриппа А и В содержат NA и НА в качестве основных структурных и антигенных компонентов вирусной частицы, обладающих гемагглютинирующей и нейраминидазной активностями. У вируса гриппа С нет нейраминидазы, он обладает вместо этого гемагглютинин-эстеразным (проникающим) белком (HEF). Нить РНК окружена белком и упакована в липопротеидную мембрану. Вирионы способны агглютинировать эритроциты и элюироваться в них с помощью вирусспецифических ферментов.",J10
777,Грипп,"Для вирусов сероварианта А (реже В) характерно частое изменение антигенной структуры при пребывании их в естественных условиях. Эти изменения обуславливают множество названий подтипов, которые включают место первичного появления, номер и год выделения, характеристика HN — например A/Moscow/10/99 (H3N2), A/New Caledonia/120/99 (H1N1), B/Hong Kong/330/2001.",J10
778,Грипп,"Вирус гриппа имеет сферическую форму диаметром 80—120 нм, в центре находятся восемь РНК-фрагментов, заключённых в липопротеидную оболочку, на поверхности которой имеются «шипы», состоящие из гемагглютинина (H) и из нейраминидазы (N). Антитела, вырабатываемые в ответ на гемагглютинин (H) и нейраминидазу (N), составляют основу иммунитета против определённого подтипа возбудителя гриппа. Необычными для вирусов свойствами вируса гриппа является фрагментарность генома и изменчивость белков — гемагглютинина и нейраминидазы. У этих белков может происходить резкое изменение свойств — антигенный сдвиг — приводящий к появлению формы вируса, вызывающей пандемию, а у этой новой формы, или у возродившейся старой формы вируса может происходить медленное изменение свойств — антигенный дрейф — способствующий продолжению эпидемии[28].",J10
779,Грипп,"Вопреки широко распространенному мнению, вирус гриппа вызывает у человека стойкий иммунитет. Повторная заболеваемость гриппом — это результат изменчивости вируса гриппа (антигенного дрейфа и антигенных сдвигов)[24].",J10
780,Грипп,"К гриппу восприимчивы все возрастные категории людей. Источником инфекции является больной человек с явной или стёртой формой болезни, выделяющий вирус с кашлем, чиханьем и т. д. Больной заразен с первых часов заболевания и до пятого—седьмого дня болезни[29]. Характеризуется аэрозольным (вдыхание мельчайших капель слюны, слизи, которые содержат вирус гриппа) механизмом передачи и чрезвычайно быстрым распространением в виде эпидемий и пандемий. Эпидемии гриппа, вызванные серотипом А, возникают примерно каждые 2—3 года, а вызванные серотипом В — каждые 4—6 лет. Серотип С не вызывает эпидемий, только единичные вспышки у детей и ослабленных людей. В виде эпидемий встречается чаще в осенне-зимний период. Согласно исследованию финских специалистов, проведённому университетом Оулу совместно с исследовательским центром биомедицины и Ведомством здравоохранения и социального развития THL, риск эпидемий является наиболее высоким при температуре от −5 до +5 °C, когда уменьшение влажности воздуха создаёт благоприятные условия для проникновения вирусов в человеческий организм, в силу охлаждения и сухости дыхательных путей[30]. Периодичность эпидемий связана с частым изменением антигенной структуры вируса при пребывании его в естественных условиях.",J10
781,Грипп,"Группами высокого риска считаются дети, люди преклонного возраста, беременные женщины, люди с хроническими болезнями сердца, лёгких.",J10
782,Грипп,"Подавляющее большинство инфицированных гриппом не обращается за медицинской помощью. В журнале «The Lancet Respiratory Medicine» была опубликована статья с анализом заболеваемости в 2005—2011 годах, в которой приведены данные, что только у 23 % заболевших гриппом проявлялись симптомы, и всего 17 % из них обращались к врачу. При этом все носители распространяли вирус[31].",J10
783,Грипп,"В 2017 году, по оценке специалистов, было примерно 54 миллиона случаев инфекций нижних дыхательных путей, вызванных вирусами гриппа. Из них приблизительно 9,5 млн человек были госпитализированы, а у 8 миллионов заболевание проходило в тяжёлой форме. По той же оценке, 145 тысяч человек из заболевших гриппом умерли в итоге этой болезни. В общей сложности 11,5 % инфекций нижних дыхательных путей ассоциированы с гриппом. Россия и Литва оказались странами с наибольшей долей госпитализаций у пациентов с гриппом. Примерно треть всех смертей суммарно пришлась на Индию (около 26 000), Китай (около 11 000) и Россию (около 8 000)[32].",J10
784,Грипп,"Эпидемии и пандемии гриппа вызывают вирусы гриппа серотипа «A»[24]. Намного реже (раз в 4—6 лет) эпидемии вызывает также вирус гриппа типа «B», они развиваются медленно по сравнению с вызванными вирусом «A» и, как правило, охватывают 8—10 % населения[33].",J10
785,Грипп,"В 412 году до н. э. Гиппократ описал вспышку респираторного заболевания «перинфский кашель», похожего на грипп. Также похоже на грипп заболевание «крестьянская лихорадка», вспышка которого отмечена в Англии в 1173 году. Пандемии гриппа определённо известны с XVI века[24][34]. В XVIII веке в Европе прошли три эпидемии гриппа. Эпидемия 1781—1782 годов считается крупнейшей в истории, по оценкам, тогда заболели гриппом свыше 3/4 жителей Англии[35].",J10
786,Грипп,Инкубационный период развития гриппа составляет от 3 до 24 часов с момента заражения[34].,J10
787,Грипп,"Вирус гриппа имеет сродство к эпителию трахеи и верхней части бронхов, некоторые штаммы — к эпителию кишечника[",J10
788,Грипп,"Вирусные частицы проникают к клеткам эпителия дыхательных путей, преимущественно цилиндрического эпителия трахеи и бронхов, прикрепляются к ним и с помощью гемагглютинина «впрыскивают» фрагменты РНК и белки через клеточную мембрану внутрь клетки.РНК вируса синтезирует белки и РНК для новых вирусов, и белки собирают их в новые вирусные частицы.Вирусные частицы выходят из клетки с помощью нейраминидазы, либо, реже, вызывают апоптоз клетки.Развивается иммунный ответ организма на клетки с остатками гемагглютинина на поверхности мембраны — высвобождается большое количество цитокинов.В кровеносной системе нарастает повреждение эпителия и базальной мембраны, увеличение проницаемости капилляров.В лёгких вирусный белок PB1-F2 уничтожает тканевые макрофаги, образуя брешь в защите лёгких от инфекций.В ЦНС происходит (обратимая) миелинизация.",J10
789,Грипп,"раздражение верхних дыхательных путей: сильный кашель;заторможенность нервных реакций, мышечная (миалгия) и головная боль в результате повреждений нервных клеток при иммунном ответе на вирус гриппа;симптомы отравления организма: повышение температуры, озноб, миалгия и головная боль;симптомы повышенной сосудистой проницаемости и разрыва капилляров: стазы и геморрагия.",J10
790,Грипп,"Вирус угнетает защитные системы организма, что обусловливает присоединение вторичной инфекции и осложнения.",J10
791,Грипп,"На протяжении всего трахеобронхиального дерева наблюдается отслоение эпителия, образование аркадообразных структур эпителия трахеи и бронхов вследствие неравномерного отёка и вакуолизации цитоплазмы и признаки экссудативного воспаления. Частый характерный признак — это геморрагический трахеобронхит различной степени выраженности. В очагах гриппозной пневмонии альвеолы содержат серозный экссудат, эритроциты, лейкоциты, альвеолоциты. В очагах воспаления нередки тромбозы сосудов и некрозы.",J10
792,Грипп,"Симптомы гриппа не являются специфическими, то есть без лабораторных исследований (выделение вируса из мазков горла, прямая и непрямая иммунофлуоресценция на мазках эпителия слизистой оболочки носа, серологический тест на наличие противогриппозных антител в крови и т. п.) невозможно наверняка отличить грипп от других ОРВИ. На практике часто диагноз «грипп» устанавливается на основании лишь эпидемических данных, когда наблюдается повышение заболеваемости ОРВИ среди населения данной местности, лабораторная диагностика проводится только там, где есть подготовленные лаборатории[24].",J10
793,Грипп,"Инкубационный период может колебаться от нескольких часов до 3 дней, обычно 1—2 дня. Тяжесть заболевания варьируется от лёгких до тяжёлых гипертоксических форм. Некоторые авторы указывают, что типичная гриппозная инфекция начинается обычно с резкого подъёма температуры тела (до 38—40 °C), которая сопровождается обычными симптомами интоксикации: ознобом, болями в мышцах, головной болью, чувством усталости и держится 3—4 дня. Выделений из носа, как правило, нет, напротив, есть выраженное чувство сухости в носу и глотке. Обычно появляется сухой, напряжённый кашель, сопровождающийся болью за грудиной. При гладком течении эти симптомы сохраняются 3—5 дней, и больной выздоравливает, но несколько дней сохраняется чувство выраженной усталости, особенно у пожилых больных. При тяжёлых формах гриппа развивается сосудистый коллапс, отёк мозга, геморрагический синдром, присоединяются вторичные бактериальные осложнения. Клинические находки при объективном исследовании не выражены — только гиперемия и отёк слизистой зева, бледность кожи, инъецированные склеры. Грипп представляет большую опасность из-за развития серьёзных осложнений, особенно у детей, пожилых и ослабленных больных.",J10
794,Грипп,"Отличия гриппа от других ОРВИ (клиническая картина чистого гриппа без вторичной инфекции), эти симптомы являются основанием для подозрения на грипп — точный диагноз возможен только по результатам лабораторных исследований[36]:",J10
795,Грипп,"Частота возникновения осложнений заболевания относительно невелика, но в случае их развития они могут представлять значительную опасность для здоровья больного. Средне-тяжёлые, тяжёлые и токсические формы гриппа, могут являться причиной серьёзных осложнений. Причинами возникновения осложнений при гриппе могут быть следующие особенности инфекционного процесса: вирус гриппа оказывает выраженное капилляротоксическое действие, способен подавлять иммунитет, разрушает тканевые барьеры, облегчая тем самым агрессию тканей резидентной флорой.",J10
796,Грипп,"лёгочные: бактериальная пневмония, геморрагическая пневмония, формирование абсцесса лёгкого, образование эмпиемы, острый респираторный дистресс-синдром.внелёгочные: бактериальные риниты, синуситы, отиты, трахеиты, вирусный энцефалит, менингит, неврит, радикулоневрит, поражение печени синдром Рея, миокардит, токсико-аллергический шок.",J10
797,Грипп,"если на один или несколько дней температура тела снизилась до 37—37,5 ℃ и затем поднялась до 38 ℃ и выше (признак вторичной инфекции), необходимо обратиться к врачу или вызвать врача на дом;необходимо вызывать «скорую помощь» (и описать диспетчеру все симптомы) при следующих признаках:затруднение дыхания (одышка), особенно у детей, критическое состояние — когда человек может дышать только наклонившись вперёд;при кашле боль в области боковых рёбер (справа и слева корпуса);откашливаемая мокрота розового цвета (с растворённой кровью);при потере сознания;высокая температура не снижается после трёх приёмов разных препаратов последовательно с учётом времени действия этих лекарств;фебрильные судороги — обычно у детей до 5 лет, похожи на приступ эпилепсии, но серьёзной опасности не представляют, являясь побочным эффектом высокой температуры.",J10
798,Грипп,"В большинстве случаев грипп человека диагностируется клинически. Однако в периоды низкой активности вирусов гриппа и при отсутствии эпидемий при клинической диагностике трудно дифференцировать грипп от инфекций, вызванных другими респираторными вирусами (риновирус, респираторный синцитиальный вирус, вирус парагриппа и аденовирус)[10].",J10
799,Грипп,"ПЦР с обратной транскрипцией (от-ПЦР, RT PCR); это наиболее точный метод — выявляет РНК вируса гриппа, результаты анализа могут быть готовы в течение 4—6 часов и позволяют отличать различные подтипы гриппа;иммунофлюоресцентная реакция — оценка титра антител к вирусу гриппа на сыворотке крови; производится быстрее ПЦР, но даёт меньшую точность;коммерческие экспресс-тесты; дают результат через 10—40 минут, но ещё меньшую точность: тесты определяют наличие гриппа у 62 % заражённых людей, и в 98 % положительных результатов у людей действительно есть грипп.",J10
800,Грипп,"Вирусовыделение в верхних дыхательных путях у большинства больных неосложнённым гриппом значительно снижается через 3—4 дня от возникновения симптомов, поэтому период в первые 3—4 дня является наиболее предпочтительным для проведения тестирования на вирус. Репликация вируса в нижних дыхательных путях обычно обнаруживается в течение более длительного периода, поэтому в случае отрицательного результата тестирования образцов из верхних дыхательных путей, положительный результат может показать тестирование образцов из нижних дыхательных путей. Также более длительное вирусовыделение в нижних дыхательных путях может происходить у критически больных пациентов с дыхательной недостаточностью, иммуносупрессией или проходящих терапию системными кортикостероидами[40].",J10
801,Грипп,клиническая картина гриппа;анализ методом ПЦР показал присутствие РНК вируса гриппа;четырёхкратное увеличение числа антител к вирусу гриппа в парных тестах сыворотки крови больного: на первые-вторые сутки и на 2—3 неделю заболевания.,J10
802,Грипп,Для снижения риска осложнений важно соблюдать назначенный врачом режим и снизить нагрузки.,J10
803,Грипп,"Учёные из Университета Джонса Хопкинса (США) выявили, что половой гормон прогестерон, который у женщин контролирует менструальный цикл и протекание беременности, защищает мышей женского пола от осложнений после гриппа.[",J10
804,Грипп,"Наиболее эффективным способом профилактики гриппа является ежегодная вакцинация противогриппозной вакциной. К 2018 году безопасные и эффективные противогриппозные вакцины используются более 60 лет, наиболее распространены в мире инъекционные инактивированные вакцины[10].",J10
805,Грипп,"В соответствии с кокрановским систематическим обзором 2018 года инактивированная противогриппозная вакцина может слегка снижать количество случаев гриппа (примерно в два раза по сравнению с непривитыми, меняя вероятность заболеть с 2 % до 0,9 %), также, вероятно, уменьшается количество случаев гриппоподобных заболеваний. Вакцина может немного или даже значительно снизить количество дней нетрудоспособности, однако степень достоверности доказательств низкая[84]. Систематический обзор 2015 года показал, что вакцинация немного снижает частоту возникновения среднего отита (одного из возможных осложнений) среди детей, в том числе возможно снижение использования антибиотиков, однако в данном направление требуются дополнительные исследования[85].",J10
806,Грипп,"Вакцины от гриппа могут предоставить умеренную защиту от вирусологически подтверждённого гриппа, но такая защита значительно снижается или отсутствует в некоторые сезоны. Доказательств защиты у взрослых в возрасте 65 лет и старше недостаточно. Исследования последовательно показывают высокую эффективность у детей раннего возраста (в возрасте от 6 месяцев до 7 лет)[86].",J10
807,Грипп,"Вакцинация осуществляется соответствующей ведущему штамму противогриппозной вакциной и содержит, как правило, антигены трёх штаммов вируса гриппа, которые отбираются на основе рекомендаций Всемирной организации здравоохранения. Предложена вакцина для профилактики гриппа в форме живой, убитой (инактивированной), субъединичной вакцины. Вакцинация особенно показана в группах риска — дети, пожилые люди, больные с хроническими заболеваниями сердца и лёгких, а также медицинские работники. Обычно осуществляется, когда эпидемиологический прогноз свидетельствует о целесообразности массовых мероприятий (обычно в середине осени). Возможна и вторая прививка в середине зимы.",J10
808,Грипп,"В качестве неспецифической профилактики в помещении, где находится больной гриппом, проводится влажная уборка с применением любого дезинфицирующего средства, обладающего вирулицидным действием. Для дезинфекции воздуха используется ультрафиолетовое облучение, аэрозольные дезинфекторы и каталитические очистители воздуха.",J10
809,Грыжа пищеводного отверстия диафрагмы,"хроническое рецидивирующее заболевание, при котором через пищеводное отверстие диафрагмы смещается абдоминальный отдел пищевода, кардия, верхний отдел желудка и в крайне редких случаях петли кишечника.",K44
810,Грыжа пищеводного отверстия диафрагмы,ожирение;частые запоры (повышение внутрибрюшного давления);упорный кашель;курение;наследственная предрасположенность[1].,K44
811,Грыжа пищеводного отверстия диафрагмы,скользящиетракционныепульсионныесмешанные[2];параэзофагеальные;смешанные.По уровню возвышения над диафрагмой и объёму:кардиальные;кардиофундальные;субтотальные;тотально-желудочные.,K44
812,Грыжа пищеводного отверстия диафрагмы,Небольшие грыжи редко доставляют дискомфорт.,K44
813,Грыжа пищеводного отверстия диафрагмы,"Основным симптомом при грыже пищеводного отверстия диафрагмы является изжога, она возникает, как правило, после еды, при резкой перемене положения тела. Чаще возникает ночью, это объясняется повышением тонуса блуждающего нерва, вследствие чего происходит расслабление нижнего пищеводного сфинктера.",K44
814,Грыжа пищеводного отверстия диафрагмы,"Так же больные жалуются на жгучую или тупую боль, иррадииурющую в область сердца, лопатки, левого плеча и усиливающуюся при наклонах и во время физической нагрузки, на чувство дискомфорта за грудиной, потерю веса, осиплость голоса, приступы кашля и удушья во время сна[2].",K44
