icd_10,Name,Name_DO,symptoms,names_ru,symptoms_ru_no_stat,InRuMedTop3
G54.0,brachial plexus disorders,thoracic outlet syndrome,,Поражения плечевого сплетения,,1
G54.1,lumbosacral plexus disorders,,,Поражения пояснично-крестцового сплетения,"Боли и онемение в пояснице, Проблемы с мочеиспусканием или дефекацией, Изменения в сексуальной функции, Ощущение онемения или жжения в нижних конечностях, Снижение силы и ощущение слабости в нижних конечностях",1
G54.2,"cervical root disorders, not elsewhere classified",,,"Поражения шейных корешков, не классифицированные в других рубриках","онемение в областях находящихся в плече, слабость по всей руке, онемение по всей руке и в пальцы кисти ",1
G54.3,"thoracic root disorders, not elsewhere classified",,,"Поражения грудных корешков, не классифицированные в других рубриках","онемение в областях находящихся в плече, слабость по всей руке, онемение по всей руке и в пальцы кисти ",1
G54.4,"lumbosacral root disorders, not elsewhere classified",,,"Поражения пояснично-крестцовых корешков, НКДР",,1
G54.5,neuralgic amyotrophy,amyotrophic neuralgia,,Невралгическая амиотрофия,"резкие боли в плече или руке распространяющиеся на кисть, мышечная слабость и паралич отдельных групп мышц",1
G54.6,phantom limb syndrome with pain,,"['Muscle Weakness', 'Quadriplegia', 'Reflex, Abnormal', 'Nausea', 'Edema', 'Paralysis', 'Sleep Disorders', 'Hyperkinesis', 'Myoclonus', 'Psychomotor Agitation', 'Akathisia, Drug-Induced', 'Tremor', 'Apraxias', 'Memory Disorders', 'Hallucinations', 'Muscle Cramp', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Neuralgia', 'Neuralgia, Postherpetic', 'Sciatica', 'Pain, Intractable', 'Hemiplegia', 'Paraplegia', 'Paresis', 'Psychophysiologic Disorders', 'Sensation Disorders', 'Somatosensory Disorders', 'Hyperalgesia', 'Hyperesthesia', 'Hypesthesia', 'Paresthesia', 'Vision Disorders', 'Blindness, Cortical', 'Angina Pectoris', 'Pain, Postoperative', 'Pruritus', 'Neurologic Manifestations', 'Illusions', 'Phantom Limb', 'Spasm', 'Intermittent Claudication', 'Perceptual Disorders', 'Agnosia', 'Prosopagnosia', 'Eye Pain']",Синдром фантома конечности с болью,,1
G54.7,,,"['Muscle Weakness', 'Quadriplegia', 'Reflex, Abnormal', 'Nausea', 'Edema', 'Paralysis', 'Sleep Disorders', 'Hyperkinesis', 'Myoclonus', 'Psychomotor Agitation', 'Akathisia, Drug-Induced', 'Tremor', 'Apraxias', 'Memory Disorders', 'Hallucinations', 'Muscle Cramp', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Neuralgia', 'Neuralgia, Postherpetic', 'Sciatica', 'Pain, Intractable', 'Hemiplegia', 'Paraplegia', 'Paresis', 'Psychophysiologic Disorders', 'Sensation Disorders', 'Somatosensory Disorders', 'Hyperalgesia', 'Hyperesthesia', 'Hypesthesia', 'Paresthesia', 'Vision Disorders', 'Blindness, Cortical', 'Angina Pectoris', 'Pain, Postoperative', 'Pruritus', 'Neurologic Manifestations', 'Illusions', 'Phantom Limb', 'Spasm', 'Intermittent Claudication', 'Perceptual Disorders', 'Agnosia', 'Prosopagnosia', 'Eye Pain']",Синдром фантома конечности без боли,,1
G54.8,other nerve root and plexus disorders,,,Другие поражения нервных корешков и сплетений,,1
G54.9,"nerve root and plexus disorder, unspecified",,,Поражения нервных корешков и сплетений неуточненное,,1
G62.0,drug-induced polyneuropathy,polyneuropathy due to drug,,Лекарственная полиневропатия,"Атрофия мускулатуры, Синдром беспокойных ног, Ощущение жжения по коже, Повышенная потливость конечностей, Изменение цвета кожи, Снижение рефлексов, Снижение чувствительности стоп и ладоней",1
G62.1,alcoholic polyneuropathy,alcoholic neuropathy,,Алкогольная полиневропатия,"онемение конечностей, снижение болевых ощущений, тремор конечностей, нарушение координации движений, синюшность конечностей, образование язв",1
G62.2,polyneuropathy due to other toxic agents,,,"Полиневропатия, вызванная другими токсическими веществами",,1
G80.0,spastic quadriplegic cerebral palsy,,,Спастический церебральный паралич,,0
G80.1,spastic diplegic cerebral palsy,spastic diplegia,,Спастическая диплегия,"Невозможность поднять и удерживать на весу голову, Отсутствие внимания на яркие краски, не может самостоятельно переворачиваться",0
G80.2,spastic hemiplegic cerebral palsy,,,Детская гемиплегия,,0
G80.3,athetoid cerebral palsy,,"['Aging, Premature', 'Fever', 'Hypothermia', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Cyanosis', 'Muscle Hypertonia', 'Muscle Rigidity', 'Muscle Weakness', 'Quadriplegia', 'Reflex, Abnormal', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Diarrhea, Infantile', 'Nausea', 'Anoxia', 'Apnea', 'Cough', 'Respiratory Aspiration', 'Respiratory Sounds', 'Weight Gain', 'Obesity', 'Edema', 'Paralysis', 'Hearing Disorders', 'Hearing Loss', 'Hearing Loss, Conductive', 'Hearing Loss, Sensorineural', 'Sleep Disorders', 'Oral Manifestations', 'Asthenia', 'Obesity, Morbid', 'Thinness', 'Cardiac Output, Low', 'Hydrops Fetalis', 'Fatigue', 'Fetal Distress', 'Mobility Limitation', 'Dyskinesias', 'Ataxia', 'Cerebellar Ataxia', 'Gait Ataxia', 'Athetosis', 'Chorea', 'Dystonia', 'Hyperkinesis', 'Myoclonus', 'Psychomotor Agitation', 'Tremor', 'Gait Disorders, Neurologic', 'Apraxias', 'Communication Disorders', 'Language Disorders', 'Dyslexia', 'Language Development Disorders', 'Speech Disorders', 'Aphasia', 'Dysarthria', 'Learning Disorders', 'Confusion', 'Consciousness Disorders', 'Unconsciousness', 'Coma', 'Memory Disorders', 'Mental Retardation', 'Psychomotor Disorders', 'Muscle Cramp', 'Muscle Spasticity', 'Muscle Hypotonia', 'Muscular Atrophy', 'Myotonia', 'Tetany', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Neck Pain', 'Pain, Intractable', 'Facial Paralysis', 'Hemiplegia', 'Ophthalmoplegia', 'Paraplegia', 'Pseudobulbar Palsy', 'Paresis', 'Paraparesis, Spastic', 'Psychophysiologic Disorders', 'Sensation Disorders', 'Deafness', 'Hearing Loss, Bilateral', 'Somatosensory Disorders', 'Hypesthesia', 'Paresthesia', 'Vision Disorders', 'Blindness', 'Blindness, Cortical', 'Color Vision Defects', 'Diplopia', 'Vision, Low', 'Urinary Bladder, Neurogenic', 'Voice Disorders', 'Arthralgia', 'Pain, Postoperative', 'Constipation', 'Vomiting', 'Mouth Breathing', 'Snoring', 'Jaundice', 'Purpura, Thrombocytopenic', 'Urinary Incontinence', 'Neurologic Manifestations', 'Torticollis', 'Illusions', 'Spasm', 'Reflex, Babinski', 'Shoulder Pain', 'Fetal Hypoxia', 'Urinary Incontinence, Stress', 'Perceptual Disorders', 'Horner Syndrome', 'Postoperative Nausea and Vomiting', 'Hypoventilation', 'Eye Manifestations', 'Amblyopia', 'Oliguria', 'Mutism', 'Persistent Vegetative State', 'Dysmenorrhea', 'Articulation Disorders', 'Gagging', 'Agnosia', 'Gait Apraxia', 'Hypocapnia', 'Urinary Bladder, Overactive', 'Synkinesis', 'Agraphia', 'Aerophagy', 'Urinary Incontinence, Urge', 'Aging, Premature', 'Fever', 'Hypothermia', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Cyanosis', 'Muscle Hypertonia', 'Muscle Rigidity', 'Muscle Weakness', 'Quadriplegia', 'Reflex, Abnormal', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Diarrhea, Infantile', 'Nausea', 'Anoxia', 'Apnea', 'Cough', 'Respiratory Aspiration', 'Respiratory Sounds', 'Weight Gain', 'Obesity', 'Edema', 'Paralysis', 'Hearing Disorders', 'Hearing Loss', 'Hearing Loss, Conductive', 'Hearing Loss, Sensorineural', 'Sleep Disorders', 'Oral Manifestations', 'Asthenia', 'Obesity, Morbid', 'Thinness', 'Cardiac Output, Low', 'Hydrops Fetalis', 'Fatigue', 'Fetal Distress', 'Mobility Limitation', 'Dyskinesias', 'Ataxia', 'Cerebellar Ataxia', 'Gait Ataxia', 'Athetosis', 'Chorea', 'Dystonia', 'Hyperkinesis', 'Myoclonus', 'Psychomotor Agitation', 'Tremor', 'Gait Disorders, Neurologic', 'Apraxias', 'Communication Disorders', 'Language Disorders', 'Dyslexia', 'Language Development Disorders', 'Speech Disorders', 'Aphasia', 'Dysarthria', 'Learning Disorders', 'Confusion', 'Consciousness Disorders', 'Unconsciousness', 'Coma', 'Memory Disorders', 'Mental Retardation', 'Psychomotor Disorders', 'Muscle Cramp', 'Muscle Spasticity', 'Muscle Hypotonia', 'Muscular Atrophy', 'Myotonia', 'Tetany', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Neck Pain', 'Pain, Intractable', 'Facial Paralysis', 'Hemiplegia', 'Ophthalmoplegia', 'Paraplegia', 'Pseudobulbar Palsy', 'Paresis', 'Paraparesis, Spastic', 'Psychophysiologic Disorders', 'Sensation Disorders', 'Deafness', 'Hearing Loss, Bilateral', 'Somatosensory Disorders', 'Hypesthesia', 'Paresthesia', 'Vision Disorders', 'Blindness', 'Blindness, Cortical', 'Color Vision Defects', 'Diplopia', 'Vision, Low', 'Urinary Bladder, Neurogenic', 'Voice Disorders', 'Arthralgia', 'Pain, Postoperative', 'Constipation', 'Vomiting', 'Mouth Breathing', 'Snoring', 'Jaundice', 'Purpura, Thrombocytopenic', 'Urinary Incontinence', 'Neurologic Manifestations', 'Torticollis', 'Illusions', 'Spasm', 'Reflex, Babinski', 'Shoulder Pain', 'Fetal Hypoxia', 'Urinary Incontinence, Stress', 'Perceptual Disorders', 'Horner Syndrome', 'Postoperative Nausea and Vomiting', 'Hypoventilation', 'Eye Manifestations', 'Amblyopia', 'Oliguria', 'Mutism', 'Persistent Vegetative State', 'Dysmenorrhea', 'Articulation Disorders', 'Gagging', 'Agnosia', 'Gait Apraxia', 'Hypocapnia', 'Urinary Bladder, Overactive', 'Synkinesis', 'Agraphia', 'Aerophagy', 'Urinary Incontinence, Urge', 'Aging, Premature', 'Fever', 'Hypothermia', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Cyanosis', 'Muscle Hypertonia', 'Muscle Rigidity', 'Muscle Weakness', 'Quadriplegia', 'Reflex, Abnormal', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Diarrhea, Infantile', 'Nausea', 'Anoxia', 'Apnea', 'Cough', 'Respiratory Aspiration', 'Respiratory Sounds', 'Weight Gain', 'Obesity', 'Edema', 'Paralysis', 'Hearing Disorders', 'Hearing Loss', 'Hearing Loss, Conductive', 'Hearing Loss, Sensorineural', 'Sleep Disorders', 'Oral Manifestations', 'Asthenia', 'Obesity, Morbid', 'Thinness', 'Cardiac Output, Low', 'Hydrops Fetalis', 'Fatigue', 'Fetal Distress', 'Mobility Limitation', 'Dyskinesias', 'Ataxia', 'Cerebellar Ataxia', 'Gait Ataxia', 'Athetosis', 'Chorea', 'Dystonia', 'Hyperkinesis', 'Myoclonus', 'Psychomotor Agitation', 'Tremor', 'Gait Disorders, Neurologic', 'Apraxias', 'Communication Disorders', 'Language Disorders', 'Dyslexia', 'Language Development Disorders', 'Speech Disorders', 'Aphasia', 'Dysarthria', 'Learning Disorders', 'Confusion', 'Consciousness Disorders', 'Unconsciousness', 'Coma', 'Memory Disorders', 'Mental Retardation', 'Psychomotor Disorders', 'Muscle Cramp', 'Muscle Spasticity', 'Muscle Hypotonia', 'Muscular Atrophy', 'Myotonia', 'Tetany', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Neck Pain', 'Pain, Intractable', 'Facial Paralysis', 'Hemiplegia', 'Ophthalmoplegia', 'Paraplegia', 'Pseudobulbar Palsy', 'Paresis', 'Paraparesis, Spastic', 'Psychophysiologic Disorders', 'Sensation Disorders', 'Deafness', 'Hearing Loss, Bilateral', 'Somatosensory Disorders', 'Hypesthesia', 'Paresthesia', 'Vision Disorders', 'Blindness', 'Blindness, Cortical', 'Color Vision Defects', 'Diplopia', 'Vision, Low', 'Urinary Bladder, Neurogenic', 'Voice Disorders', 'Arthralgia', 'Pain, Postoperative', 'Constipation', 'Vomiting', 'Mouth Breathing', 'Snoring', 'Jaundice', 'Purpura, Thrombocytopenic', 'Urinary Incontinence', 'Neurologic Manifestations', 'Torticollis', 'Illusions', 'Spasm', 'Reflex, Babinski', 'Shoulder Pain', 'Fetal Hypoxia', 'Urinary Incontinence, Stress', 'Perceptual Disorders', 'Horner Syndrome', 'Postoperative Nausea and Vomiting', 'Hypoventilation', 'Eye Manifestations', 'Amblyopia', 'Oliguria', 'Mutism', 'Persistent Vegetative State', 'Dysmenorrhea', 'Articulation Disorders', 'Gagging', 'Agnosia', 'Gait Apraxia', 'Hypocapnia', 'Urinary Bladder, Overactive', 'Synkinesis', 'Agraphia', 'Aerophagy', 'Urinary Incontinence, Urge']",Дискинетический церебральный паралич,,0
G80.4,,,,Атактический церебральный паралич,,0
G80.8,other cerebral palsy,,,Другой вид детского церебрального паралича,"Патологический мышечный тонус, Неконтролируемые движения, Задержка психического развития, Судороги, Нарушения речи слуха зрения, Трудности с глотанием",0
G80.9,"cerebral palsy, unspecified",,"['Aging, Premature', 'Fever', 'Hypothermia', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Cyanosis', 'Muscle Hypertonia', 'Muscle Rigidity', 'Muscle Weakness', 'Quadriplegia', 'Reflex, Abnormal', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Diarrhea, Infantile', 'Nausea', 'Anoxia', 'Apnea', 'Cough', 'Respiratory Aspiration', 'Respiratory Sounds', 'Weight Gain', 'Obesity', 'Edema', 'Paralysis', 'Hearing Disorders', 'Hearing Loss', 'Hearing Loss, Conductive', 'Hearing Loss, Sensorineural', 'Sleep Disorders', 'Oral Manifestations', 'Asthenia', 'Obesity, Morbid', 'Thinness', 'Cardiac Output, Low', 'Hydrops Fetalis', 'Fatigue', 'Fetal Distress', 'Mobility Limitation', 'Dyskinesias', 'Ataxia', 'Cerebellar Ataxia', 'Gait Ataxia', 'Athetosis', 'Chorea', 'Dystonia', 'Hyperkinesis', 'Myoclonus', 'Psychomotor Agitation', 'Tremor', 'Gait Disorders, Neurologic', 'Apraxias', 'Communication Disorders', 'Language Disorders', 'Dyslexia', 'Language Development Disorders', 'Speech Disorders', 'Aphasia', 'Dysarthria', 'Learning Disorders', 'Confusion', 'Consciousness Disorders', 'Unconsciousness', 'Coma', 'Memory Disorders', 'Mental Retardation', 'Psychomotor Disorders', 'Muscle Cramp', 'Muscle Spasticity', 'Muscle Hypotonia', 'Muscular Atrophy', 'Myotonia', 'Tetany', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Neck Pain', 'Pain, Intractable', 'Facial Paralysis', 'Hemiplegia', 'Ophthalmoplegia', 'Paraplegia', 'Pseudobulbar Palsy', 'Paresis', 'Paraparesis, Spastic', 'Psychophysiologic Disorders', 'Sensation Disorders', 'Deafness', 'Hearing Loss, Bilateral', 'Somatosensory Disorders', 'Hypesthesia', 'Paresthesia', 'Vision Disorders', 'Blindness', 'Blindness, Cortical', 'Color Vision Defects', 'Diplopia', 'Vision, Low', 'Urinary Bladder, Neurogenic', 'Voice Disorders', 'Arthralgia', 'Pain, Postoperative', 'Constipation', 'Vomiting', 'Mouth Breathing', 'Snoring', 'Jaundice', 'Purpura, Thrombocytopenic', 'Urinary Incontinence', 'Neurologic Manifestations', 'Torticollis', 'Illusions', 'Spasm', 'Reflex, Babinski', 'Shoulder Pain', 'Fetal Hypoxia', 'Urinary Incontinence, Stress', 'Perceptual Disorders', 'Horner Syndrome', 'Postoperative Nausea and Vomiting', 'Hypoventilation', 'Eye Manifestations', 'Amblyopia', 'Oliguria', 'Mutism', 'Persistent Vegetative State', 'Dysmenorrhea', 'Articulation Disorders', 'Gagging', 'Agnosia', 'Gait Apraxia', 'Hypocapnia', 'Urinary Bladder, Overactive', 'Synkinesis', 'Agraphia', 'Aerophagy', 'Urinary Incontinence, Urge', 'Aging, Premature', 'Fever', 'Hypothermia', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Cyanosis', 'Muscle Hypertonia', 'Muscle Rigidity', 'Muscle Weakness', 'Quadriplegia', 'Reflex, Abnormal', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Diarrhea, Infantile', 'Nausea', 'Anoxia', 'Apnea', 'Cough', 'Respiratory Aspiration', 'Respiratory Sounds', 'Weight Gain', 'Obesity', 'Edema', 'Paralysis', 'Hearing Disorders', 'Hearing Loss', 'Hearing Loss, Conductive', 'Hearing Loss, Sensorineural', 'Sleep Disorders', 'Oral Manifestations', 'Asthenia', 'Obesity, Morbid', 'Thinness', 'Cardiac Output, Low', 'Hydrops Fetalis', 'Fatigue', 'Fetal Distress', 'Mobility Limitation', 'Dyskinesias', 'Ataxia', 'Cerebellar Ataxia', 'Gait Ataxia', 'Athetosis', 'Chorea', 'Dystonia', 'Hyperkinesis', 'Myoclonus', 'Psychomotor Agitation', 'Tremor', 'Gait Disorders, Neurologic', 'Apraxias', 'Communication Disorders', 'Language Disorders', 'Dyslexia', 'Language Development Disorders', 'Speech Disorders', 'Aphasia', 'Dysarthria', 'Learning Disorders', 'Confusion', 'Consciousness Disorders', 'Unconsciousness', 'Coma', 'Memory Disorders', 'Mental Retardation', 'Psychomotor Disorders', 'Muscle Cramp', 'Muscle Spasticity', 'Muscle Hypotonia', 'Muscular Atrophy', 'Myotonia', 'Tetany', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Neck Pain', 'Pain, Intractable', 'Facial Paralysis', 'Hemiplegia', 'Ophthalmoplegia', 'Paraplegia', 'Pseudobulbar Palsy', 'Paresis', 'Paraparesis, Spastic', 'Psychophysiologic Disorders', 'Sensation Disorders', 'Deafness', 'Hearing Loss, Bilateral', 'Somatosensory Disorders', 'Hypesthesia', 'Paresthesia', 'Vision Disorders', 'Blindness', 'Blindness, Cortical', 'Color Vision Defects', 'Diplopia', 'Vision, Low', 'Urinary Bladder, Neurogenic', 'Voice Disorders', 'Arthralgia', 'Pain, Postoperative', 'Constipation', 'Vomiting', 'Mouth Breathing', 'Snoring', 'Jaundice', 'Purpura, Thrombocytopenic', 'Urinary Incontinence', 'Neurologic Manifestations', 'Torticollis', 'Illusions', 'Spasm', 'Reflex, Babinski', 'Shoulder Pain', 'Fetal Hypoxia', 'Urinary Incontinence, Stress', 'Perceptual Disorders', 'Horner Syndrome', 'Postoperative Nausea and Vomiting', 'Hypoventilation', 'Eye Manifestations', 'Amblyopia', 'Oliguria', 'Mutism', 'Persistent Vegetative State', 'Dysmenorrhea', 'Articulation Disorders', 'Gagging', 'Agnosia', 'Gait Apraxia', 'Hypocapnia', 'Urinary Bladder, Overactive', 'Synkinesis', 'Agraphia', 'Aerophagy', 'Urinary Incontinence, Urge']",Детский церебральный паралич неуточненный,,0
G93.0,cerebral cysts,,"['Fever', 'Birth Weight', 'Cyanosis', 'Muscle Rigidity', 'Muscle Weakness', 'Quadriplegia', 'Reflex, Abnormal', 'Seizures', 'Abdominal Pain', 'Nausea', 'Apnea', 'Dyspnea', 'Edema', 'Paralysis', 'Hearing Disorders', 'Hearing Loss', 'Hearing Loss, Conductive', 'Hearing Loss, Sensorineural', 'Sleep Disorders', 'Asthenia', 'Cerebrospinal Fluid Otorrhea', 'Ataxia', 'Cerebellar Ataxia', 'Gait Ataxia', 'Athetosis', 'Chorea', 'Dystonia', 'Myoclonus', 'Tremor', 'Gait Disorders, Neurologic', 'Apraxias', 'Catatonia', 'Language Disorders', 'Language Development Disorders', 'Speech Disorders', 'Aphasia', 'Learning Disorders', 'Consciousness Disorders', 'Unconsciousness', 'Coma', 'Syncope', 'Memory Disorders', 'Mental Retardation', 'Auditory Perceptual Disorders', 'Hallucinations', 'Psychomotor Disorders', 'Muscular Atrophy', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Neck Pain', 'Sciatica', 'Facial Paralysis', 'Hemiplegia', 'Ophthalmoplegia', 'Paraplegia', 'Paresis', 'Paraparesis', 'Paraparesis, Spastic', 'Psychophysiologic Disorders', 'Sensation Disorders', 'Dizziness', 'Deafness', 'Hearing Loss, Bilateral', 'Tinnitus', 'Olfaction Disorders', 'Hypesthesia', 'Paresthesia', 'Vision Disorders', 'Blindness, Cortical', 'Diplopia', 'Hemianopsia', 'Vision, Low', 'Urinary Bladder, Neurogenic', 'Vertigo', 'Voice Disorders', 'Angina Pectoris', 'Constipation', 'Vomiting', 'Urinary Incontinence', 'Torticollis', 'Spasm', 'Hearing Loss, Sudden', 'Intermittent Claudication', 'Motion Sickness', 'Cerebrospinal Fluid Rhinorrhea', 'Perceptual Disorders', 'Pupil Disorders', 'Hirsutism', 'Brown-Sequard Syndrome', 'Agnosia', 'Hemifacial Spasm', 'Agraphia', 'Usher Syndromes', 'Amnesia, Retrograde', 'Urinary Incontinence, Urge']",Церебральная киста,,0
G93.1,"anoxic brain damage, not elsewhere classified",,,"Аноксическое повреждение головного мозга,классифиц. в других рубриках",,0
G93.2,benign intracranial hypertension,pseudotumor cerebri,,Доброкачественная внутричерепная гипертензия,"головная боль, тошнота и рвота, шаткость при ходьбе, боли в глазнице, обнаруживаются застойные диски зрительных нервов",0
G93.3,,chronic fatigue syndrome,,Синдром утомляемости после перенесенной вирусной болезни,,0
G96.0,cerebrospinal fluid leak,,,Истечение цереброспинальной жидкости [ликворея],"судороги, потеря сознания, повышение общей температуры",1
G98.0,"Neurogenic arthritis, not elsewhere classified",,,Другие нарушения нервной системы,"Нарушения сна – бессонница, Повышенная тревожность и раздражительность, Пониженная работоспособность, вялость, сонливость, Проблемы с запоминанием, снижение внимательности, Возникновение навязчивых мыслей и фобий, Нервные тики, непроизвольное сокращение мышц, Головные боли, мигрени, боли в конечностях",1
G98.8,Other disorders of nervous system,,,Другие нарушения нервной системы,,1
H90.0,"conductive hearing loss, bilateral",,,Кондуктивная потеря слуха двусторонняя,"частичная или полная утрата проведения звуков, заложенность ушей, проблемы с различением речи от других шумов, звучание собственного голоса громче окружающих звуков (аутофония), чувство переливания жидкости в ухе",0
I10,essential (primary) hypertension,hypertension,"['Angina Pectoris', 'Overweight', 'Snoring', 'Eye Manifestations', 'Nocturia', 'Anoxia', 'Oliguria', 'Psychophysiologic Disorders', 'Fetal Hypoxia', 'Edema', 'Intermittent Claudication', 'Decerebrate State', 'Albuminuria', 'Headache', 'Fetal Distress', 'Birth Weight', 'Polyuria', 'Body Weight', 'Heart Murmurs', 'Proteinuria', 'Dizziness', 'Reflex, Abnormal', 'Hearing Loss, Noise-Induced', 'Hemifacial Spasm', 'Cardiac Output, Low']",Эссенциальная [первичная] гипертензия,,1
I11.0,hypertensive heart disease with heart failure,,,Гипертензивная [гипертонич.] бол.с преимущ. пораж. сердца с сердечн.недост.,"шум в ушах, тошнота, ощущениесердцебиения пульсацией в голове, явлениям сердечной недостаточности: одышка при физической нагрузке, чувство нехватки воздуха",1
I11.9,hypertensive heart disease without heart failure,,,Гипертензивная [гипертонич.] бол.с преимущ.пораж.сердца без сердечн.недост.,"Повышение АД, Головная боль, Шум в голове, Тошнота, Снижение зрения, Судороги, Сонливость, Слабость в конечностях",1
I20.0,unstable angina,intermediate coronary syndrome,"['Fever', 'Body Weight', 'Weight Loss', 'Abdominal Pain', 'Nausea', 'Anoxia', 'Cough', 'Dyspnea', 'Hyperventilation', 'Proteinuria', 'Obesity', 'Edema', 'Asthenia', 'Cardiac Output, Low', 'Fatigue', 'Psychomotor Agitation', 'Syncope', 'Pain', 'Back Pain', 'Neck Pain', 'Pain, Intractable', 'Ophthalmoplegia', 'Sensation Disorders', 'Dizziness', 'Hypesthesia', 'Paresthesia', 'Chest Pain', 'Angina Pectoris', 'Acute Coronary Syndrome', 'Angina, Unstable', 'Dyspepsia', 'Vomiting', 'Ecchymosis', 'Purpura, Thrombocytopenic', 'Purpura, Thrombocytopenic, Idiopathic', 'Spasm', 'Hearing Loss, Sudden', 'Shoulder Pain', 'Angina Pectoris, Variant', 'Dyspnea, Paroxysmal', 'Persistent Vegetative State']",Нестабильная стенокардия,,1
I20.1,angina pectoris with documented spasm,,"['Body Weight', 'Reflex, Abnormal', 'Nausea', 'Dyspnea', 'Hyperventilation', 'Edema', 'Fever of Unknown Origin', 'Consciousness Disorders', 'Unconsciousness', 'Syncope', 'Muscle Spasticity', 'Pain', 'Headache', 'Psychophysiologic Disorders', 'Dizziness', 'Colic', 'Chest Pain', 'Angina Pectoris', 'Acute Coronary Syndrome', 'Angina, Unstable', 'Spasm', 'Syncope, Vasovagal', 'Angina Pectoris, Variant', 'Body Weight', 'Reflex, Abnormal', 'Nausea', 'Dyspnea', 'Hyperventilation', 'Edema', 'Fever of Unknown Origin', 'Consciousness Disorders', 'Unconsciousness', 'Syncope', 'Muscle Spasticity', 'Pain', 'Headache', 'Psychophysiologic Disorders', 'Dizziness', 'Colic', 'Chest Pain', 'Angina Pectoris', 'Acute Coronary Syndrome', 'Angina, Unstable', 'Spasm', 'Syncope, Vasovagal', 'Angina Pectoris, Variant']",Стенокардия с документально подтвержденным спазмом,,1
